link,machine learning,english,communication skills,innovative solutioning,problem solving,team player,python,sql,proactivity,critical thinking,azure data solutions,azure services,data solutions,business inteligence,analytics solutions,data warehouses,data integration,azure,snowflake,spark,airflow,aws,kubernetes,xgboost,data science,mysql,leadership skills,math,nlp,computer vision,tensorflow,keras,numpy,pytorch,artificial intelligence,ci/cd,data warehouse,data lake,statistics,pandas,scikit-learn,matplotlib,scipy,polish,c++,c,deep learning,cloud,docker,cv,data scientist,ai,time series,mlops,doświadczenie w pracy z szeregami czasowymi,bardzo dobra znajomość statystyki,"5+dośw. data scientist, mchine learning, ai",r,sap,relational databases,pyspark,industrial automation,process control,pql,english min. b2,big data,nosql,mongodb,etl,ct/cd models,"masters in machine learning, computing or a related",c/c++,algorithms,ai/ ml,parallel programming,tensorflow and keras,"nn, deep learning, bias/variance, models optimization",creating cloud-based data architectures and pipelines,trend analyses,multivariate statistics (parametric / non-parametric),bias reduction,indirect estimation,data aggregation techniques,"automation, generalization",english c1,linux,tensor flow/keras/pytorch,cpu/gpu architecture knowledge,3d rendering apis,"generic data processing, data structures and 3d algorithms",multi-threaded programming techniques and simd architecture,basics of video encoding algorithms and state-of-the-art solutions,sklearn,hyperopt,lgbm,model validation techniques,database,sql server,power bi,devops,statistical modeling,mathematical modelling,analysis,communicative english
https://nofluffjobs.com/pl/job/data-scientist-cleeng-poznan-mrwap791,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-objectivity-remote-sshyneul,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-architect-objectivity-remote-c1jn3tzr,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/staff-software-engineer-machine-learning-affirm-remote-bisgnuwj,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-geocomply-warsaw-bcjuvcyj,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-lead-geocomply-warsaw-4jirx4fy,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-data-scientist-nlp-lingaro-1xtcj5kz,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/sr-software-engineer-machine-learning-affirm-remote-y1dlzhy2,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-ai-engineer-link-group-remote-syih1csv,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-hubquest-remote-pvc8kaiu,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-developer-link-group-remote-qtg3110h,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/rpa-lab-deloitte-advisory-remote-9w2e6i3w,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/ai-lab-deloitte-advisory-remote-afmbfx8d,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/computer-vision-data-scientist-secret-sauce-partners-remote-chyicyyr,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/mlops-engineer-mx-labs-remote-6ytwqgpf,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/chief-data-scientist-indata-labs-remote-co1qwdsd,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-backend-engineer-remote-flyr-poland-dmsekzc5,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-backend-python-engineer-remote-flyr-poland-ryzyn9te,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/backend-python-engineer-flyr-poland-krakow-jzg9btto,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/ai-engineer-tascent-wroclaw-oalvlx3z,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-remote-deepsense-ai-jgzeobxc,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-lerta-remote-hgbkfzia,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/deep-learning-engineer-focal-systems-remote-tzxnzup6,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-researcher-link-group-remote-a1ifwpid,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-supply-chain-hubquest-remote-fjvdpo5t,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-engineer-britenet-warszawa-nvh9vfph,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-a-pc-hubquest-remote-41thr7bq,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/process-mining-specialist-aesculap-chifa-nowytomysl-ou7kl4gm,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/ai-engineer-lingaro-remote-3zwld2jl,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-machine-learning-developer-iterators-iezdvu6r,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-mlops-engineer-link-group-bt10xvfp,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-developer-mobica-limited-remote-r4rpgfo3,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-ai-gpu-senior-software-architect-luxoft-poland-cgzwdd54,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-link-group-remote-pqnh2uc9,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
https://nofluffjobs.com/pl/job/ai-developer-data-scientist-algomine-remote-h27qqrmz,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-nlp-data-scientist-applica-remote-24pnvhyb,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-data-qa-engineer-indata-labs-liwxhilc,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
https://nofluffjobs.com/pl/job/lead-delivery-manager-data-ai-elitmind-warszawa-cxcmub7z,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
https://nofluffjobs.com/pl/job/data-modeler-avenga-remote-9kch6r5l,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
https://nofluffjobs.com/pl/job/data-scientist-addepto-remote-nxftlphr,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
