link,churn prediction modeling,polish,computer vision,reinforcement learning,forecasting,natural language processing,data platform,crisp-dm,google cloud,aws data services,spark,python,aws,delta lake,anomaly detection,fraud detection,automl,mlops tools,tensorflow,pytorch,java,scala,c++,javascript,r,matlab,docker,azure,critical thinking,leadership skills,problem solving,team player,image processing,artificial intelligence (ai),data science,pattern recognition,dvc,mlflow,flask,airflow,kubernetes,opencv,keras,communication skills,experience in computer vision,experience in natural language processing,experience in data visualization,kafka,influx db,optimization,pandas,numpy,meteorology,cloud,proactivity,data engineering,azureml,kubeflow,fastapi,anliza big data,nlp,gcp,data warehouse,hw/sw analysis and optimization,gpu shader coding,unreal engine 4/unigine,deep learning,ml apis,gpu profiling tools,linux performance tuning,vtune,open gl/open c/vulcan/directx,gpu and cpu performance optimizations and debugging,solid 3d math skills,"video encoding technologies (h264, h265, av1)",gdb,dpd,default rate,ocr,azure analytics,public cloud,bi tools,scikit-learn,etl
https://nofluffjobs.com/pl/job/data-scientist-cleeng-poznan-mrwap791,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-objectivity-remote-sshyneul,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-architect-objectivity-remote-c1jn3tzr,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/staff-software-engineer-machine-learning-affirm-remote-bisgnuwj,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-geocomply-warsaw-bcjuvcyj,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-lead-geocomply-warsaw-4jirx4fy,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/sr-software-engineer-machine-learning-affirm-remote-y1dlzhy2,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-ai-engineer-link-group-remote-syih1csv,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-hubquest-remote-pvc8kaiu,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-developer-link-group-remote-qtg3110h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/computer-vision-data-scientist-secret-sauce-partners-remote-chyicyyr,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/mlops-engineer-mx-labs-remote-6ytwqgpf,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-backend-engineer-remote-flyr-poland-dmsekzc5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-backend-python-engineer-remote-flyr-poland-ryzyn9te,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/backend-python-engineer-flyr-poland-krakow-jzg9btto,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/ai-engineer-tascent-wroclaw-oalvlx3z,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-remote-deepsense-ai-jgzeobxc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-lerta-remote-hgbkfzia,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/deep-learning-engineer-focal-systems-remote-tzxnzup6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-researcher-link-group-remote-a1ifwpid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-supply-chain-hubquest-remote-fjvdpo5t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/machine-learning-engineer-britenet-warszawa-nvh9vfph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-data-scientist-a-pc-hubquest-remote-41thr7bq,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/ai-engineer-lingaro-remote-3zwld2jl,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-machine-learning-developer-iterators-iezdvu6r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-mlops-engineer-link-group-bt10xvfp,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/remote-ai-gpu-senior-software-architect-luxoft-poland-cgzwdd54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
https://nofluffjobs.com/pl/job/data-scientist-link-group-remote-pqnh2uc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
https://nofluffjobs.com/pl/job/ai-developer-data-scientist-algomine-remote-h27qqrmz,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/senior-nlp-data-scientist-applica-remote-24pnvhyb,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
https://nofluffjobs.com/pl/job/remote-data-qa-engineer-indata-labs-liwxhilc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nofluffjobs.com/pl/job/lead-delivery-manager-data-ai-elitmind-warszawa-cxcmub7z,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
https://nofluffjobs.com/pl/job/data-modeler-avenga-remote-9kch6r5l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
https://nofluffjobs.com/pl/job/data-scientist-addepto-remote-nxftlphr,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
